"FUN_ID","module"
"FUN_001858","purple"
"FUN_001860","cyan"
"FUN_001865","darkred"
"FUN_001874","green"
"FUN_001875","orange"
"FUN_001883","orange"
"FUN_001892","orange"
"FUN_001893","greenyellow"
"FUN_001894","greenyellow"
"FUN_001897","orange"
"FUN_001901","darkgreen"
"FUN_001921","violet"
"FUN_046803","lightyellow"
"FUN_001945","yellow"
"FUN_001951","darkgreen"
"FUN_001952","tan"
"FUN_001955","violet"
"FUN_001959","darkturquoise"
"FUN_001961","yellow"
"FUN_001968","greenyellow"
"FUN_001977","violet"
"FUN_046818","orange"
"FUN_001981","cyan"
"FUN_001988","cyan"
"FUN_001990","grey60"
"FUN_001992","violet"
"FUN_001994","orange"
"FUN_001996","magenta"
"FUN_001997","grey60"
"FUN_001999","black"
"FUN_002001","yellow"
"FUN_002002","violet"
"FUN_002003","orange"
"FUN_002007","purple"
"FUN_002195","violet"
"FUN_002202","darkorange"
"FUN_002203","yellow"
"FUN_002204","darkgreen"
"FUN_002205","violet"
"FUN_002207","cyan"
"FUN_002215","darkred"
"FUN_002216","yellow"
"FUN_002218","darkred"
"FUN_002219","royalblue"
"FUN_002220","red"
"FUN_002225","greenyellow"
"FUN_002241","green"
"FUN_002243","orange"
"FUN_002253","darkred"
"FUN_002272","orange"
"FUN_002274","royalblue"
"FUN_002279","orange"
"FUN_002287","grey60"
"FUN_002290","tan"
"FUN_002293","greenyellow"
"FUN_002295","purple"
"FUN_002297","red"
"FUN_002298","violet"
"FUN_002315","greenyellow"
"FUN_002316","cyan"
"FUN_002317","tan"
"FUN_002318","yellow"
"FUN_002321","yellow"
"FUN_002322","greenyellow"
"FUN_002337","red"
"FUN_002339","darkturquoise"
"FUN_002340","darkturquoise"
"FUN_002346","green"
"FUN_002347","violet"
"FUN_002359","orange"
"FUN_002362","lightyellow"
"FUN_002363","cyan"
"FUN_002365","red"
"FUN_002366","darkturquoise"
"FUN_002367","greenyellow"
"FUN_002371","darkturquoise"
"FUN_002372","greenyellow"
"FUN_002373","darkorange"
"FUN_002395","orange"
"FUN_002399","grey60"
"FUN_002402","purple"
"FUN_002403","purple"
"FUN_002418","darkred"
"FUN_002438","greenyellow"
"FUN_002439","darkorange"
"FUN_002445","darkorange"
"FUN_002448","lightyellow"
"FUN_002451","cyan"
"FUN_002452","cyan"
"FUN_002453","tan"
"FUN_002462","cyan"
"FUN_002463","yellow"
"FUN_002464","darkred"
"FUN_002465","cyan"
"FUN_002467","violet"
"FUN_002473","lightyellow"
"FUN_002475","greenyellow"
"FUN_002480","yellow"
"FUN_002482","greenyellow"
"FUN_002488","orange"
"FUN_002501","greenyellow"
"FUN_002503","violet"
"FUN_002504","magenta"
"FUN_002505","darkgreen"
"FUN_002506","greenyellow"
"FUN_002507","cyan"
"FUN_002509","violet"
"FUN_002519","violet"
"FUN_002520","green"
"FUN_002522","orange"
"FUN_002527","purple"
"FUN_002528","green"
"FUN_002531","lightyellow"
"FUN_002532","magenta"
"FUN_002534","purple"
"FUN_002537","magenta"
"FUN_002552","red"
"FUN_002553","magenta"
"FUN_002554","cyan"
"FUN_002558","green"
"FUN_002560","violet"
"FUN_002568","greenyellow"
"FUN_002571","lightyellow"
"FUN_002572","orange"
"FUN_002576","greenyellow"
"FUN_002579","greenyellow"
"FUN_002582","orange"
"FUN_002584","black"
"FUN_002586","red"
"FUN_002589","greenyellow"
"FUN_002604","yellow"
"FUN_002605","black"
"FUN_002606","lightyellow"
"FUN_002616","black"
"FUN_002618","lightyellow"
"FUN_002621","tan"
"FUN_002622","violet"
"FUN_002632","darkred"
"FUN_002635","violet"
"FUN_002647","lightyellow"
"FUN_002648","orange"
"FUN_002649","orange"
"FUN_002654","greenyellow"
"FUN_002657","orange"
"FUN_002658","orange"
"FUN_002659","royalblue"
"FUN_002666","yellow"
"FUN_002669","greenyellow"
"FUN_002673","magenta"
"FUN_002674","red"
"FUN_002675","yellow"
"FUN_046914","greenyellow"
"FUN_002693","violet"
"FUN_002715","greenyellow"
"FUN_002720","orange"
"FUN_002733","greenyellow"
"FUN_002734","purple"
"FUN_002751","lightyellow"
"FUN_002752","tan"
"FUN_002756","lightyellow"
"FUN_002757","greenyellow"
"FUN_002767","yellow"
"FUN_002782","yellow"
"FUN_002783","lightyellow"
"FUN_002785","orange"
"FUN_002786","red"
"FUN_002787","greenyellow"
"FUN_002788","greenyellow"
"FUN_002790","greenyellow"
"FUN_002804","green"
"FUN_002805","green"
"FUN_002807","orange"
"FUN_002809","greenyellow"
"FUN_002810","grey60"
"FUN_002812","orange"
"FUN_002816","yellow"
"FUN_002826","grey60"
"FUN_002827","tan"
"FUN_002834","orange"
"FUN_002836","orange"
"FUN_002838","orange"
"FUN_002843","darkred"
"FUN_002847","magenta"
"FUN_002850","greenyellow"
"FUN_002851","violet"
"FUN_002855","purple"
"FUN_002859","greenyellow"
"FUN_046932","orange"
"FUN_002866","lightyellow"
"FUN_002868","orange"
"FUN_002869","darkturquoise"
"FUN_002876","darkturquoise"
"FUN_002882","darkgreen"
"FUN_002884","darkgreen"
"FUN_002885","greenyellow"
"FUN_002886","orange"
"FUN_002887","greenyellow"
"FUN_002888","darkred"
"FUN_002891","magenta"
"FUN_002895","green"
"FUN_002896","darkgreen"
"FUN_002899","cyan"
"FUN_002900","lightyellow"
"FUN_002902","grey60"
"FUN_002904","lightyellow"
"FUN_002906","royalblue"
"FUN_002913","darkturquoise"
"FUN_002916","tan"
"FUN_002917","royalblue"
"FUN_002918","orange"
"FUN_002920","violet"
"FUN_002921","orange"
"FUN_002922","yellow"
"FUN_002923","red"
"FUN_002924","green"
"FUN_002927","grey"
"FUN_002929","darkgreen"
"FUN_002944","violet"
"FUN_002949","violet"
"FUN_002952","tan"
"FUN_002953","black"
"FUN_002954","darkred"
"FUN_002956","cyan"
"FUN_002973","darkgreen"
"FUN_002976","darkturquoise"
"FUN_002983","violet"
"FUN_002986","cyan"
"FUN_003000","lightyellow"
"FUN_003003","darkturquoise"
"FUN_003004","darkred"
"FUN_003006","violet"
"FUN_046957","green"
"FUN_003011","cyan"
"FUN_003012","yellow"
"FUN_003015","yellow"
"FUN_003016","orange"
"FUN_003021","green"
"FUN_003040","lightyellow"
"FUN_003042","lightyellow"
"FUN_003043","tan"
"FUN_003046","violet"
"FUN_003060","darkred"
"FUN_003068","violet"
"FUN_003079","violet"
"FUN_003080","purple"
"FUN_003091","greenyellow"
"FUN_003092","magenta"
"FUN_003093","violet"
"FUN_003095","darkred"
"FUN_003101","orange"
"FUN_003106","orange"
"FUN_003108","violet"
"FUN_003109","violet"
"FUN_003116","violet"
"FUN_003122","lightyellow"
"FUN_003124","darkturquoise"
"FUN_003125","yellow"
"FUN_003136","cyan"
"FUN_003137","grey60"
"FUN_003139","royalblue"
"FUN_003140","lightyellow"
"FUN_003142","purple"
"FUN_003143","cyan"
"FUN_003144","orange"
"FUN_003150","yellow"
"FUN_003152","grey60"
"FUN_003153","violet"
"FUN_003160","magenta"
"FUN_003162","orange"
"FUN_003168","greenyellow"
"FUN_003185","lightyellow"
"FUN_003188","red"
"FUN_003192","lightyellow"
"FUN_003197","lightyellow"
"FUN_003198","greenyellow"
"FUN_003203","orange"
"FUN_003208","darkred"
"FUN_003209","lightyellow"
"FUN_003212","violet"
"FUN_003213","violet"
"FUN_003214","violet"
"FUN_003215","greenyellow"
"FUN_003218","greenyellow"
"FUN_003247","orange"
"FUN_003261","violet"
"FUN_003264","greenyellow"
"FUN_003267","violet"
"FUN_003268","lightyellow"
"FUN_003269","green"
"FUN_003270","greenyellow"
"FUN_003272","orange"
"FUN_003275","lightyellow"
"FUN_003276","grey60"
"FUN_047027","black"
"FUN_003277","lightyellow"
"FUN_003282","greenyellow"
"FUN_003294","orange"
"FUN_003299","orange"
"FUN_003300","cyan"
"FUN_003301","yellow"
"FUN_003303","violet"
"FUN_003304","orange"
"FUN_003305","darkred"
"FUN_047028","darkred"
"FUN_003313","darkturquoise"
"FUN_003315","darkturquoise"
"FUN_003317","greenyellow"
"FUN_003318","greenyellow"
"FUN_003323","purple"
"FUN_003324","greenyellow"
"FUN_003326","tan"
"FUN_003328","violet"
"FUN_003332","orange"
"FUN_047029","orange"
"FUN_003344","orange"
"FUN_003350","greenyellow"
"FUN_003351","orange"
"FUN_003352","greenyellow"
"FUN_003353","grey"
"FUN_003356","lightyellow"
"FUN_003358","black"
"FUN_003366","yellow"
"FUN_003367","greenyellow"
"FUN_003368","red"
"FUN_003375","darkturquoise"
"FUN_047030","greenyellow"
"FUN_003379","darkorange"
