"X","PohiBra080_sorted.bam","PohiBra081_sorted.bam","PohiBra083_sorted.bam","PohiBra084_sorted.bam","PohiBra085_sorted.bam","PohiBra086_sorted.bam","PstrBra093_sorted.bam","PstrBra094_sorted.bam","PstrBra098_sorted.bam"
"FUN_000205",0,0,4,0,0,4,3,1,0
"FUN_000206",124,518,697,261,153,270,203,216,146
"FUN_000207",66,159,179,225,188,431,170,160,88
"FUN_047109",515,344,1225,631,490,1223,718,830,244
"FUN_000208",529,312,818,342,278,416,716,1002,293
"FUN_000211",0,7,0,3,0,5,0,0,0
"FUN_000214",0,0,0,0,0,0,0,0,0
"FUN_000215",0,0,0,0,0,0,0,0,0
"FUN_000216",0,0,0,0,0,0,0,0,0
"FUN_000217",0,0,0,0,0,0,0,0,0
"FUN_000218",211,977,1104,398,361,224,219,214,155
"FUN_000220",7,141,10,32,27,0,42,11,5
"FUN_000221",3391,18,0,0,0,8,0,0,0
"FUN_000222",0,0,0,0,0,0,0,0,0
"FUN_000223",383,1,0,0,0,1,1,0,0
"FUN_000224",0,0,0,0,0,0,0,0,0
"FUN_000225",0,0,0,0,0,0,0,0,0
"FUN_000226",179,54,144,33,53,63,122,124,61
"FUN_000227",30,24,185,46,57,26,78,67,45
"FUN_000228",9,15,91,36,49,55,39,28,34
"FUN_000229",0,0,0,0,1,0,0,0,0
"FUN_000230",95,32,538,41,95,157,187,146,140
"FUN_000231",288,47,1208,68,54,34,668,372,180
"FUN_000232",60,50,93,51,63,43,121,112,62
"FUN_000233",530,918,2359,1088,794,478,1149,823,484
"FUN_000235",155,165,404,160,124,96,94,239,59
"FUN_000236",310,244,695,212,224,189,603,397,249
"FUN_000238",5,0,0,0,0,0,13,8,7
"FUN_000239",0,7,0,2,0,0,0,0,0
"FUN_000241",5,0,0,0,0,2,3,0,0
"FUN_000242",0,3,0,0,0,0,0,0,0
"FUN_000244",2,0,10,0,0,0,1,5,1
"FUN_000245",0,0,0,0,0,0,0,0,0
"FUN_000246",5,0,0,0,0,3,13,8,0
"FUN_000247",0,0,0,0,0,0,0,0,0
"FUN_000248",15,17,45,13,29,8,100,89,25
"FUN_000249",39,31,89,30,18,4,21,4,12
"FUN_000251",47,22,153,38,28,10,46,9,16
"FUN_000252",0,0,0,0,0,0,0,0,0
"FUN_000253",15,6,252,55,22,11,36,17,25
"FUN_000255",30,210,230,89,120,66,54,64,39
"FUN_000256",2080,3340,6433,1896,2410,1199,2520,1920,933
"FUN_000257",720,654,1322,301,522,436,902,776,247
"FUN_000258",223,311,431,276,159,270,225,504,152
"FUN_000259",132,206,903,201,168,258,281,246,198
"FUN_000260",113,216,359,111,120,293,207,292,271
"FUN_000263",158,399,296,259,186,86,185,148,116
"FUN_000266",573,402,790,631,346,62,814,194,596
"FUN_000267",10,4,0,1,1,0,52,2,22
"FUN_000268",0,0,0,0,0,36,0,34,0
"FUN_000269",0,0,0,0,0,0,0,0,0
"FUN_047119",29,17,37,23,19,43,30,9,12
"FUN_000270",1742,1089,3973,1221,1130,1615,1290,1812,627
"FUN_000271",0,0,0,0,0,0,0,0,0
"FUN_000272",1,0,0,0,0,2,0,0,0
"FUN_000273",0,0,0,0,0,0,16,0,8
"FUN_000274",0,0,0,0,0,0,8,0,0
"FUN_000275",0,0,0,0,0,0,1,0,1
"FUN_000276",83,10,179,96,23,19,189,52,239
"FUN_000277",53,6,38,14,11,0,58,10,8
"FUN_000278",293,377,656,181,270,76,477,297,130
"FUN_000280",14,13,0,3,7,1,55,13,11
"FUN_000282",727,959,2802,1224,764,1018,1196,1818,632
"FUN_000283",12158,3927,23732,4532,6632,4724,12156,8740,4359
"FUN_000284",305,1017,1932,862,595,470,381,478,274
"FUN_000285",7262,2443,22222,3265,2316,2162,12927,4156,3722
"FUN_000289",0,0,0,0,0,0,0,0,0
"FUN_000290",0,0,0,0,0,0,0,0,0
"FUN_000291",0,0,0,0,0,0,0,0,0
"FUN_000295",0,13,0,14,8,1,11,1,14
"FUN_000297",419,357,586,548,433,161,435,178,140
"FUN_000298",341,313,945,299,392,492,631,466,261
"FUN_000299",47,2,19,5,4,7,12,3,6
"FUN_000300",6,0,0,0,1,1,0,0,0
"FUN_000301",6,0,63,0,1,1,0,0,1
"FUN_000302",47,0,19,2,3,8,13,2,3
"FUN_000303",4,9,87,6,5,4,11,7,3
"FUN_000304",77,0,24,0,2,0,12,15,5
"FUN_000305",13,14,51,14,6,1,1,7,8
"FUN_047132",52,30,294,52,37,36,259,87,64
"FUN_000306",0,0,0,0,0,0,0,0,0
"FUN_000308",0,0,0,0,1,0,0,0,0
"FUN_000309",68,183,405,130,137,151,132,228,153
"FUN_000310",44,107,220,59,23,35,53,86,17
"FUN_000311",0,0,0,0,2,0,0,0,0
"FUN_000312",0,0,0,0,0,0,2,0,0
"FUN_000313",2,0,0,0,0,0,0,0,0
"FUN_000314",3750,2799,7428,2192,5010,2669,2651,2980,1304
"FUN_000316",149,7958,322,1502,4126,13,384,260,85
"FUN_000317",2,45,0,37,14,0,5,10,7
"FUN_000318",9,2,0,0,0,0,7,3,4
"FUN_000319",0,0,0,0,0,0,8,0,6
"FUN_000320",0,0,0,0,0,0,0,0,0
"FUN_000323",271,450,1244,307,335,133,156,236,175
"FUN_000324",84,165,316,179,191,52,533,514,295
"FUN_000325",0,5,0,2,3,2,0,0,1
"FUN_000326",8,37,19,21,17,2,12,2,0
"FUN_000327",84,241,185,101,99,39,337,274,98
"FUN_000328",0,0,0,0,0,0,0,0,0
"FUN_000330",100,356,339,147,103,62,77,100,55
"FUN_000333",655,599,2110,686,514,374,1039,856,440
"FUN_000334",239,32,1156,105,107,38,4078,2977,1286
"FUN_000335",0,0,0,0,0,0,0,0,0
"FUN_000336",0,0,0,5,0,168,0,169,0
"FUN_000337",0,0,0,0,0,0,0,0,0
"FUN_000338",2685,3213,7049,3714,2712,1977,2805,2150,1268
"FUN_000341",0,0,0,0,0,0,0,0,0
"FUN_000342",0,0,16,0,0,0,2,0,0
"FUN_000343",0,0,1,2,0,1,1,0,1
"FUN_047147",36,28,87,24,24,33,102,57,19
"FUN_000344",12650,8489,17831,4703,6842,8372,11299,13163,3068
"FUN_000345",0,0,0,0,0,0,0,0,0
"FUN_000347",2,0,0,0,0,0,10,0,0
"FUN_000348",0,0,0,0,0,0,0,0,0
"FUN_000350",49,25,46,16,18,2,102,14,44
"FUN_000351",41,103,180,49,35,3,49,23,41
"FUN_000353",217,42,481,299,222,265,484,342,169
"FUN_000354",0,0,0,0,0,0,0,5,0
"FUN_000355",0,3,0,1,0,0,0,0,0
"FUN_000356",25,105,0,23,18,21,41,81,24
"FUN_000358",12,84,141,45,40,47,27,20,16
"FUN_000360",384,42,554,77,133,1230,622,1122,136
"FUN_000364",2,0,0,0,0,0,6,2,0
"FUN_000365",2,0,0,2,0,1,0,0,2
"FUN_000366",0,0,0,0,0,0,0,0,0
"FUN_000367",0,0,0,0,0,0,0,0,0
"FUN_000368",5,0,10,0,1,0,1,0,4
"FUN_000369",0,0,0,0,2,0,0,0,0
"FUN_000370",0,0,0,0,0,0,0,0,0
"FUN_000371",321,7,1,1,0,0,0,1,1
"FUN_000372",198,28,98,94,40,40,398,127,187
"FUN_000373",179,163,869,234,261,127,564,384,150
"FUN_000374",28,17,61,21,19,9,16,6,11
"FUN_000375",32,9,0,6,5,1,143,2,95
"FUN_000376",74,25,13,50,8,5,453,12,348
"FUN_000377",0,0,0,0,0,0,0,0,0
"FUN_000378",0,0,0,0,0,0,0,0,0
"FUN_000379",120,194,689,228,133,351,244,300,164
"FUN_000380",0,2,0,0,0,0,0,0,0
"FUN_000381",1346,601,3117,811,1433,1045,2847,564,655
"FUN_000383",960,40,1027,213,681,306,1088,128,219
"FUN_000384",0,7,12,12,1,11,1,25,2
"FUN_000385",538,864,2076,402,519,305,646,549,271
"FUN_000386",138,34,63,13,17,22,507,53,108
"FUN_000387",64,2,0,4,3,6,42,47,78
"FUN_000389",115,146,164,62,48,99,157,102,273
"FUN_000390",279,453,1576,202,250,362,357,512,252
"FUN_000391",570,382,1548,479,542,310,816,619,333
"FUN_000392",185,803,943,410,337,364,202,195,222
"FUN_000394",90,47,309,119,85,91,132,107,46
"FUN_000395",61,154,367,55,49,112,41,81,55
"FUN_000396",10,3,21,14,10,20,8,17,6
"FUN_000397",77,19,63,13,8,17,106,33,257
"FUN_000398",324,434,823,164,212,402,585,1034,382
"FUN_000399",10794,14213,31029,10301,12979,4377,19888,16458,9570
"FUN_000400",29,34,135,1,27,81,44,143,1
"FUN_000401",9,50,48,37,26,12,16,16,6
"FUN_000403",36,106,153,69,46,64,39,57,48
"FUN_000404",108,106,205,255,135,144,421,254,151
"FUN_000405",725,1048,1498,496,529,652,698,922,297
"FUN_000406",415,372,551,359,547,228,1236,374,344
"FUN_000407",20,79,69,25,5,9,16,47,4
"FUN_000408",9,63,81,22,12,13,17,21,4
