"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_000226",72.4673807890811,46.8419778676634,25.6254029214176,21.2165749462458,"tan","",63
"FUN_000230",61.6418021573773,20.8661620455637,40.7756401118136,-19.9094780662499,"darkturquoise","",64
"FUN_000231",125.730371777334,83.7846842786187,41.9456874987155,41.8389967799032,"yellow","MPHOSPH8",64
"FUN_000233",92.9866164712488,74.3982393178829,18.5883771533659,55.809862164517,"greenyellow","SF3A3",64
"FUN_000235",26.5740722598834,5.03585049387092,21.5382217660124,-16.5023712721415,"darkorange","BLOC1S3",64
"FUN_000236",229.119586601524,67.0639649468074,162.055621654717,-94.9916567079094,"yellow","SNIP1_1",64
"FUN_000255",233.709826733361,144.274760759819,89.4350659735416,54.8396947862778,"greenyellow","",65
"FUN_000256",175.485041448619,159.624155393019,15.8608860556002,143.763269337419,"greenyellow","SF3B4",65
"FUN_000257",34.8683075199221,13.7650009052077,21.1033066147145,-7.33830570950681,"royalblue","MINOS1",65
"FUN_000258",48.491042170046,37.3796176670357,11.1114245030102,26.2681931640255,"orange","PDE6D",65
"FUN_000259",53.0244241155766,26.0566900606503,26.9677340549263,-0.911043994276028,"magenta","PEX5L",65
"FUN_000260",62.883558005868,27.3986814086663,35.4848765972017,-8.08619518853542,"magenta","TPRG1L",65
"FUN_000263",230.776911307866,206.890167019487,23.8867442883791,183.003422731108,"greenyellow","NPHP4",65
"FUN_000266",105.349294179116,64.9242443666795,40.4250498124368,24.4991945542427,"darkred","",65
"FUN_000270",34.105539021002,4.30677553514493,29.7987634858571,-25.4919879507122,"darkorange","",65
"FUN_000276",165.908624009956,143.057860866635,22.8507631433208,120.207097723314,"violet","",66
"FUN_000278",97.4403006560021,54.4240277442061,43.0162729117959,11.4077548324102,"cyan","POT1",66
"FUN_000282",63.2113756848502,53.6262101399519,9.58516554489831,44.0410445950536,"orange","",66
"FUN_000283",89.7075427429855,35.076719317348,54.6308234256375,-19.5541041082895,"green","",66
"FUN_000284",206.630591552612,78.7739084713229,127.856683081289,-49.0827746099661,"lightyellow","LEMD3",66
