"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_021169",439.648479583684,429.797485339743,9.85099424394036,419.946491095803,"orange","KIF5B",1202
"FUN_037252",436.145223378799,428.829708161629,7.31551521716995,421.514192944459,"orange","GPR98_5",2033
"FUN_013242",437.392322409627,428.540766886798,8.85155552282896,419.689211363969,"orange","",751
"FUN_026451",436.634954140005,428.518159830169,8.11679430983577,420.401365520334,"orange","CACNG7_1",1458
"FUN_017412",438.086441555742,428.342443985809,9.74399756993279,418.598446415876,"orange","",1007
"FUN_028073",438.783440780232,428.218089173219,10.565351607013,417.652737566206,"orange","",1556
"FUN_015766",443.098376082763,427.909451263705,15.1889248190587,412.720526444646,"orange","",901
"FUN_015094",437.249897824474,427.792308163015,9.45758966145905,418.334718501556,"orange","PGM2",869
"FUN_003772",436.925877340869,427.701510425027,9.22436691584164,418.477143509185,"orange","",286
"FUN_041490",441.140893406672,427.685858161376,13.455035245296,414.23082291608,"orange","GDI1",2242
"FUN_015479",434.781857905796,426.913185530958,7.86867237483835,419.04451315612,"orange","",896
"FUN_007487",436.508224799501,426.509121179662,9.9991036198391,416.510017559822,"orange","",477
"FUN_036694",433.393426740855,426.275083768936,7.11834297191837,419.156740797018,"orange","NPFFR2_3",1986
"FUN_044882",436.215995827214,425.83417754127,10.3818182859443,415.452359255326,"orange","",2351
"FUN_043854",433.292630758606,425.602523529601,7.69010722900532,417.912416300596,"orange","DPP10_1",2343
"FUN_034231",433.890063408813,425.58537542865,8.30468798016301,417.280687448487,"orange","",1897
"FUN_017531",432.434304250735,424.417934179042,8.01637007169296,416.401564107349,"orange","",1011
"FUN_041716",434.08198410947,424.313858684861,9.76812542460914,414.545733260251,"orange","",2250
"FUN_036719",431.911690579979,424.240019997398,7.6716705825815,416.568349414816,"orange","",1989
"FUN_020069",431.345659776409,423.708262740237,7.63739703617244,416.070865704064,"orange","GABRA4_3",1147
"FUN_033675",431.193911797442,423.6862217993,7.50768999814198,416.178531801158,"orange","ACT1",1876
"FUN_043450",433.042038751574,423.673303431116,9.36873532045769,414.304568110659,"orange","NRXN2_2",2335
"FUN_035957",431.386624896361,423.642397254245,7.74422764211573,415.89816961213,"orange","",1956
